id	resource	problem	wikidata_id	id_wiki	wiki_address	label_en	description_english	description_german	commons_url	HDS ID	GND ID	date of birth	date of death	place of birth	coordinate_location_birth	place of death	coordinate location
104158	/m/0_xvcbc		Edmond Guillaume	Q3047845	https://www.wikidata.org/wiki/Q3047845	Edmond Guillaume	French architect	französischer Architekt	https://upload.wikimedia.org/wikipedia/commons/d/d8/Edmond_Guillaume_Villa_Medicis.jpg		116921560	1826-06-24T00:00:00Z	1894-07-20T00:00:00Z	Valenciennes	50.359166666667,3.525	Paris	48.856577777778,2.3518277777778
743	/m/0w7by89		Ludwig Schorn	Q102533	https://www.wikidata.org/wiki/Q102533	Ludwig Schorn	German art historian				116922850	1793-06-09T00:00:00Z	1842-02-17T00:00:00Z	Castell	49.75,10.333333333333	Weimar	50.983333333333,11.316666666667
760	/m/0w7slh8		Otto von Schorn	Q55846487	https://www.wikidata.org/wiki/Q55846487	Otto von Schorn					116922893	1828-01-01T00:00:00Z	1899-01-01T00:00:00Z				
104871			Carl Heinrich Hoff	Q1488826	https://www.wikidata.org/wiki/Q1488826	Carl Heinrich Hoff	German painter	deutscher Maler (1838-1890)	https://upload.wikimedia.org/wikipedia/commons/6/62/Karl_Hoff_%28German_painter%29.jpg		116935413	1838-09-08T00:00:00Z	1890-05-13T00:00:00Z	Mannheim	49.483611111111,8.4630555555556	Karlsruhe	49.016666666667,8.4
2456			Oskar Mothes	Q96793	https://www.wikidata.org/wiki/Q96793	Oskar Mothes	German architect and historian	deutscher Architekt und Kunsthistoriker	https://upload.wikimedia.org/wikipedia/commons/c/c6/Oscar_Mothes.jpg		116941685	1828-01-01T00:00:00Z	1903-01-01T00:00:00Z	Leipzig	51.333333333333,12.383333333333	Dresden	51.049258333333,13.738361111111
104600	/m/0y5k800		Friedrich Hoffstadt	Q1459769	https://www.wikidata.org/wiki/Q1459769	Friedrich Hoffstadt	German judge and painter	deutscher Richter, Maler und Kunstschriftsteller	https://upload.wikimedia.org/wikipedia/commons/d/d8/FriedrichHoffstadtself1823.jpg		116943343	1802-01-31T00:00:00Z	1846-09-07T00:00:00Z	Mannheim	49.483611111111,8.4630555555556	Aschaffenburg	49.966666666667,9.15
421	/m/0sxglz6		Albert von Zahn	Q102560	https://www.wikidata.org/wiki/Q102560	Albert von Zahn	German art historian	deutscher Kunsthistoriker, Museumsdirektor und Herausgeber der „Jahrbücher für Kunstwissenschaft“	https://upload.wikimedia.org/wikipedia/commons/a/ad/Albert_von_Zahn.png		116948876	1836-04-10T00:00:00Z	1873-06-16T00:00:00Z	Leipzig	51.333333333333,12.383333333333	Mariánské Lázně	49.964703891769,12.701249703911
103628	/m/0zbs7yb		Robert von Zahn	Q61993449	https://www.wikidata.org/wiki/Q61993449	Robert von Zahn					116949589	1840-06-29T00:00:00Z	1922-10-02T00:00:00Z				
103371			Reinhold Zehl	Q61993450	https://www.wikidata.org/wiki/Q61993450	Reinhold Zehl					116968745						
349	/m/0t5f12k		Heinrich Holtzinger	Q1597636	https://www.wikidata.org/wiki/Q1597636	Heinrich Holtzinger	German art historian				116970448	1856-08-15T00:00:00Z	1940-04-05T00:00:00Z	Oldenburg	53.143888888889,8.2138888888889	Oldenburg	53.143888888889,8.2138888888889
104220			Richard Zutt	Q15456626	https://www.wikidata.org/wiki/Q15456626	Richard Zutt	Swiss politician			5949	117027324	1849-08-03T00:00:00Z	1917-06-13T00:00:00Z	Schiltigheim	48.606944444444,7.7491666666667	Riehen	47.57942,7.65117
727	/m/0w61xz6		Wilhelm Nokk	Q1294595	https://www.wikidata.org/wiki/Q1294595	Wilhelm Nokk	German politician	Präsident des Badischen Staatsministeriums	https://upload.wikimedia.org/wikipedia/commons/5/52/Wilhelm-Nokk.jpg		117040096	1832-11-30T00:00:00Z	1903-02-12T00:00:00Z	Bruchsal	49.133333333333,8.6	Karlsruhe	49.016666666667,8.4
480	/m/0sxbqvm		Julius Buddeus	Q54423544	https://www.wikidata.org/wiki/Q54423544	Julius Buddeus					1073417034	1812-05-15T00:00:00Z	1873-07-03T00:00:00Z	Bielefeld	52.016666666667,8.5333333333333		
104601	/m/0y5k9xt		Karl Dietrich Hüllmann	Q1730733	https://www.wikidata.org/wiki/Q1730733	Karl Dietrich Hüllmann	German historian and university professor	deutscher Historiker und Hochschullehrer	https://upload.wikimedia.org/wikipedia/commons/a/a2/KarlDietrichH%C3%BCllmann.jpg		117046825	1765-09-10T00:00:00Z	1846-03-04T00:00:00Z	Erdeborn	51.483055555556,11.633055555556	Bonn	50.733888888889,7.0997222222222
103387	http://purl.org/net7/korbo2/ite/m/103387		Botho von Hülsen	Q98677	https://www.wikidata.org/wiki/Q98677	Botho von Hülsen	German intendant (1815-1886)				117048836	1815-12-10T00:00:00Z	1886-09-30T00:00:00Z	Berlin	52.516666666667,13.383333333333	Berlin	52.516666666667,13.383333333333
776	/m/0108jrw_		Karl von Normann	Q1733643	https://www.wikidata.org/wiki/Q1733643	Karl von Normann	German chamberlain and diplomat				117057185	1827-09-21T00:00:00Z	1888-07-17T00:00:00Z	Franzburg	54.166666666667,12.866666666667	Brunswick	52.269166666667,10.521111111111
104	/m/0sxg5vv		Albert Jahn	Q2638224	https://www.wikidata.org/wiki/Q2638224	Albert Jahn	Swiss historian			27075	117064211	1811-10-09T00:00:00Z	1900-08-23T00:00:00Z	Twann	47.083055555556,7.15	Bern	46.94798,7.44743
102618			Victor Jasper	Q1598349	https://www.wikidata.org/wiki/Q1598349	Victor Jasper	Austrian painter and restorer				117085383	1848-03-30T00:00:00Z	1931-10-10T00:00:00Z	Vienna	48.20833,16.373064	Vienna	48.20833,16.373064
637	/m/0t5dj3r		Rudolf Wackernagel	Q1766733	https://www.wikidata.org/wiki/Q1766733	Rudolf Wackernagel	Swiss regional historian and medievalist			27122	117086495	1855-06-07T00:00:00Z	1925-04-16T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
212	/m/0v0zl29		Franz Oliver Jenison zu Walworth	Q15429384	https://www.wikidata.org/wiki/Q15429384	Franz Oliver Jenison zu Walworth		bayerischer Politiker und Diplomat	https://upload.wikimedia.org/wikipedia/commons/b/b5/Franz_Xaver_Winterhalter_-_Count_Jenison-Walworth_-_WGA25777.jpg		117102040	1787-06-09T00:00:00Z	1867-05-20T00:00:00Z	Heidelberg	49.412222222222,8.71	Florence	43.771388888889,11.254166666667
103907			Wolfgang von Oettingen	Q98157	https://www.wikidata.org/wiki/Q98157	Wolfgang von Oettingen	German art historian				117108456	1859-03-25T00:00:00Z	1943-12-20T00:00:00Z	Tartu	58.38,26.7225	Bonn	50.733888888889,7.0997222222222
368	/m/0t500pm		Cläre Schubert-Feder	Q30310838	https://www.wikidata.org/wiki/Q30310838	Cläre Schubert-Feder					1057582123	1855-03-10T00:00:00Z					
											117116262						
103070			Friedrich Ludwig Imhoof-Hotze	Q55675082	https://www.wikidata.org/wiki/Q55675082	Friedrich Ludwig Imhoof-Hotze					117137391	1807-08-11T00:00:00Z	1893-12-21T00:00:00Z	Winterthur	47.4992,8.72671	Winterthur	47.4992,8.72671
103431			Gustav Adolf Ingenheim	Q1555570	https://www.wikidata.org/wiki/Q1555570	Gustav Adolf Ingenheim		illegitimer Sohn von Friedrich Wilhelm II. von Preußen	https://upload.wikimedia.org/wikipedia/commons/d/d8/Johann_Erdmann_Hummel_Gustav_Adolf_von_Ingenheim_1.jpg		117139076	1789-01-02T00:00:00Z	1855-09-04T00:00:00Z	Berlin	52.516666666667,13.383333333333	Wiesbaden	50.0825,8.24
752	/m/0w7dmvx		Gustav von Loeper	Q19209706	https://www.wikidata.org/wiki/Q19209706	Gustav von Loeper					117155004	1822-09-27T00:00:00Z	1891-12-13T00:00:00Z			Berlin-Schöneberg	52.483055555556,13.349722222222
103525			Friedrich Weber	Q6233747	https://www.wikidata.org/wiki/Q6233747	Friedrich Weber			https://upload.wikimedia.org/wikipedia/commons/5/58/Arnold_B%C3%B6cklin_Bildnis_Friedrich_Weber_1869.jpg	22690	117158623	1813-01-01T00:00:00Z	1882-01-01T00:00:00Z	Liestal	47.483888888889,7.735	Basel	47.550555555556,7.5911111111111
352	/m/0v100zp		Jakob Burckhardt	Q15447537	https://www.wikidata.org/wiki/Q15447537	Jakob Burckhardt	Swiss theologian				117161322	1785-11-04T00:00:00Z	1858-12-17T00:00:00Z	Basel	47.550555555556,7.5911111111111		
103083	/m/0ystrm6		Rudolf Burckhardt	Q22311471	https://www.wikidata.org/wiki/Q22311471	Rudolf Burckhardt	Swiss zoologist and paleontologist			31962	117162388	1866-03-30T00:00:00Z	1908-01-14T00:00:00Z	Basel	47.550555555556,7.5911111111111	Rovinj	45.083333333333,13.633333333333
729	/m/0w638cm		Paul Mueller-Walde	Q2061404	https://www.wikidata.org/wiki/Q2061404	Paul Mueller-Walde	German art historian				117172413	1858-03-14T00:00:00Z	1931-12-21T00:00:00Z	Eberswalde	52.833055555556,13.833055555556	Berlin	52.516666666667,13.383333333333
726	/m/0w61812		Max Jordan	Q95756	https://www.wikidata.org/wiki/Q95756	Max Jordan	German art historian	deutscher Kunsthistoriker	https://upload.wikimedia.org/wikipedia/commons/5/55/Jordan%2C_Max_%281837-1906%29.jpg		117182761	1837-06-19T00:00:00Z	1906-11-11T00:00:00Z	Dresden	51.049258333333,13.738361111111	Steglitz	52.466666666667,13.333333333333
665	/m/010fyyx2		Rudolf Lohbauer	Q14190315	https://www.wikidata.org/wiki/Q14190315	Rudolf Lohbauer	German journalist, painter and publisher	deutscher Publizist, Militärtheoretiker und Maler	https://upload.wikimedia.org/wikipedia/commons/5/52/Rudolf_Lohbauer_1840.jpg	42513	117191175	1802-04-14T00:00:00Z	1873-05-15T00:00:00Z	Stuttgart	48.776111111111,9.1775		
1139	http://purl.org/net7/korbo2/ite/m/1139		Johannes Overbeck	Q86096	https://www.wikidata.org/wiki/Q86096	Johannes Overbeck	German archaeologist and art historian	deutscher Klassischer Archäologe	https://upload.wikimedia.org/wikipedia/commons/b/be/Johannes_Overbeck.gif		117191388	1826-03-27T00:00:00Z	1895-11-08T00:00:00Z	Antwerp	51.217777777778,4.4002777777778	Leipzig	51.333333333333,12.383333333333
102443			Johann Karl Schultz	Q1695090	https://www.wikidata.org/wiki/Q1695090	Johann Karl Schultz	German painter				117192759	1801-05-05T00:00:00Z	1873-06-12T00:00:00Z	Gdańsk	54.366666666667,18.633333333333	Gdańsk	54.366666666667,18.633333333333
2858	/m/0h3ps23		Karl Scheidemantel	Q86733	https://www.wikidata.org/wiki/Q86733	Karl Scheidemantel	German baritone	deutscher Bariton, Regisseur und Operndirektor	https://upload.wikimedia.org/wikipedia/commons/4/4a/Sheidemantel2.JPG		117193801	1859-01-29T00:00:00Z	1923-06-26T00:00:00Z	Weimar	50.983333333333,11.316666666667	Dresden	51.049258333333,13.738361111111
460	/m/0tk5ks0		Felix Stähelin	Q1403828	https://www.wikidata.org/wiki/Q1403828	Felix Stähelin	Swiss historian			27109	117202223	1873-12-28T00:00:00Z	1952-02-20T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
102434			Rudolph Weigel	Q52154682	https://www.wikidata.org/wiki/Q52154682	Rudolph Weigel					117243264	1804-01-01T00:00:00Z	1867-01-01T00:00:00Z				
103029			Richard Lucae	Q51988	https://www.wikidata.org/wiki/Q51988	Richard Lucae	German architect	deutscher Architekt	https://upload.wikimedia.org/wikipedia/commons/a/a0/Richard_Lucae.jpg		11725942X	1829-04-12T00:00:00Z	1877-11-26T00:00:00Z	Berlin	52.516666666667,13.383333333333	Berlin	52.516666666667,13.383333333333
1469	/m/0tk5t19		Gábor Térey	Q1326734	https://www.wikidata.org/wiki/Q1326734	Gábor Térey	Hungarian art historian				117273171	1864-02-09T00:00:00Z	1927-04-23T00:00:00Z	Darda	45.626080555556,18.692513888889	Baden bei Wien	48.0075,16.234444444444
1591	http://purl.org/net7/korbo2/ite/m/1591		Gábor Térey	Q1326734	https://www.wikidata.org/wiki/Q1326734	Gábor Térey	Hungarian art historian				117273171	1864-02-09T00:00:00Z	1927-04-23T00:00:00Z	Darda	45.626080555556,18.692513888889	Baden bei Wien	48.0075,16.234444444444
374	/m/0t5dbwb		Joseph Schlecht	Q1707968	https://www.wikidata.org/wiki/Q1707968	Joseph Schlecht	German priest and historian	deutscher Historiker	https://upload.wikimedia.org/wikipedia/commons/d/d2/Joseph_Schlecht_1.jpg		117282774	1857-01-16T00:00:00Z	1925-05-06T00:00:00Z	Wemding	48.866666666667,10.716666666667	Freising	48.402777777778,11.748888888889
1403	http://purl.org/net7/korbo2/ite/m/1403		Hermann Weiss	Q16937955	https://www.wikidata.org/wiki/Q16937955	Hermann Weiss	German cultural historian and painter				117290416	1822-04-02T00:00:00Z	1897-04-21T00:00:00Z	Hamburg	53.55,10	Berlin	52.516666666667,13.383333333333
1402	http://purl.org/net7/korbo2/ite/m/1402		Heinrich Strack	Q72120	https://www.wikidata.org/wiki/Q72120	Heinrich Strack	German architect	deutscher Architekt	https://upload.wikimedia.org/wikipedia/commons/c/cb/Johann_Heinrich_Strack.jpg		117305308	1805-07-06T00:00:00Z	1880-07-13T00:00:00Z	Bückeburg	52.260833333333,9.0491666666667	Berlin	52.516666666667,13.383333333333
938	http://purl.org/net7/korbo2/ite/m/938		Johannes Vahlen	Q68062	https://www.wikidata.org/wiki/Q68062	Johannes Vahlen	German classical philologist	deutscher Klassischer Philologe	https://upload.wikimedia.org/wikipedia/commons/2/2a/Johannes_Vahlen.jpg		117325279	1830-09-27T00:00:00Z	1911-11-30T00:00:00Z	Bonn	50.733888888889,7.0997222222222	Berlin	52.516666666667,13.383333333333
188	/m/0sxh86t		Diego Valbusa	Q61993451	https://www.wikidata.org/wiki/Q61993451	Diego Valbusa					117325600						
393	/m/0v10b38		Benno Schwabe	Q121517	https://www.wikidata.org/wiki/Q121517	Benno Schwabe	German publisher			29882	11733314X	1841-07-21T00:00:00Z	1907-10-21T00:00:00Z	Rostock	54.083333333333,12.133333333333	Arlesheim	47.492222222222,7.6202777777778
365	/m/0v1gm6l		Karl Siegismund	Q55675295	https://www.wikidata.org/wiki/Q55675295	Karl Siegismund					117364541	1861-01-23T00:00:00Z	1932-08-02T00:00:00Z	Leipzig	51.333333333333,12.383333333333	Szklarska Poręba	50.833333333333,15.533333333333
753	/m/0w7dqms		Bernhard Suphan	Q91163	https://www.wikidata.org/wiki/Q91163	Bernhard Suphan	German literary historian and archivist				11737542X	1845-01-18T00:00:00Z	1911-02-09T00:00:00Z	Nordhausen	51.505,10.791111111111	Weimar	50.983333333333,11.316666666667
1163	http://purl.org/net7/korbo2/ite/m/1163		François Wille	Q55847179	https://www.wikidata.org/wiki/Q55847179	François Wille				28098	117387576	1811-01-01T00:00:00Z	1896-01-01T00:00:00Z			Meilen	47.270277777778,8.6411111111111
1369	http://purl.org/net7/korbo2/ite/m/1369		Ferdinand Vetter	Q1351559	https://www.wikidata.org/wiki/Q1351559	Ferdinand Vetter	Swiss germanist			12366	117396257	1847-02-03T00:00:00Z	1924-08-06T00:00:00Z	Osterfingen	47.6631,8.491	Stein am Rhein	47.659444444444,8.8591666666667
102897			Andreas Simons	Q63108453	https://www.wikidata.org/wiki/Q63108453	Andreas Simons	Andreas Simons (1823-1900) was a German architect.				117397806	1823-01-01T00:00:00Z	1900-01-01T00:00:00Z				
104270			Hugo Toman	Q12020901	https://www.wikidata.org/wiki/Q12020901	Hugo Toman	Czech member of Czech council, historian and lawyer		https://upload.wikimedia.org/wikipedia/commons/9/9d/Hugo_Toman_1898_Eckert.png		11740425X	1838-10-20T00:00:00Z	1898-03-19T00:00:00Z	Rychnov nad Kněžnou	50.162870787815,16.274954757842	Prague	50.088611111111,14.421388888889
607	/m/0t5b61w		Hermann Wirz	Q60998020	https://www.wikidata.org/wiki/Q60998020	Hermann Wirz					117412554						
738	/m/0w7bgrw		Heinrich Vieweg	Q1116944	https://www.wikidata.org/wiki/Q1116944	Heinrich Vieweg	German publisher				117416673	1826-02-17T00:00:00Z	1890-02-03T00:00:00Z	Brunswick	52.269166666667,10.521111111111	Brunswick	52.269166666667,10.521111111111
418	/m/0t5dh23		Adolf Vischer	Q62130309	https://www.wikidata.org/wiki/Q62130309	Adolf Vischer	Adolf Vischer (1833-1902) was a Swiss businessman and Italian consul in Basel.					1839-04-29T00:00:00Z	1902-05-13T00:00:00Z				
1480	http://purl.org/net7/korbo2/ite/m/1480		Robert Vischer	Q101640	https://www.wikidata.org/wiki/Q101640	Robert Vischer	German philosopher				117436658	1847-02-22T00:00:00Z	1933-03-24T00:00:00Z	Tübingen	48.52,9.0555555555556	Vienna	48.20833,16.373064
512	/m/0sxckvq		Wilhelm Vischer	Q6226098	https://www.wikidata.org/wiki/Q6226098	Wilhelm Vischer	Swiss historian			14818	117436828	1833-08-04T00:00:00Z	1886-03-30T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
353	/m/0sxh58l		Ernst A. Seemann	Q60998156	https://www.wikidata.org/wiki/Q60998156	Ernst A. Seemann	German publisher specialised in art books and reviews				117445584	1829-03-09T00:00:00Z	1904-10-05T00:00:00Z				
1104	http://purl.org/net7/korbo2/ite/m/1104		August Schmarsow	Q109788	https://www.wikidata.org/wiki/Q109788	August Schmarsow	German art historian	deutscher Kunsthistoriker	https://upload.wikimedia.org/wikipedia/commons/e/ee/August_Schmarsow_1913.jpg		11745561X	1853-05-26T00:00:00Z	1936-01-19T00:00:00Z	Vellahn	53.383333333333,10.966666666667	Baden-Baden	48.761944444444,8.2408333333333
103446	/m/0tk5k9w		Soldan, Gustav	Q62130460	https://www.wikidata.org/wiki/Q62130460	Soldan, Gustav	Gustav Soldan (1848-1902). Sprout of a family from Upper Hesse, the son of a father emigrated for political reasons and naturalized in Lausanne in 1867 and brother of the federal judge Charles S.				117460141	1848-08-21T00:00:00Z	1902-12-21T00:00:00Z				
1479	http://purl.org/net7/korbo2/ite/m/1479		Hans Semper	Q4191238	https://www.wikidata.org/wiki/Q4191238	Hans Semper					117469947	1845-01-01T00:00:00Z	1920-01-01T00:00:00Z				
102939	/m/012j32		Otto Spamer	Q2040648	https://www.wikidata.org/wiki/Q2040648	Otto Spamer	German publisher	Buchhändler und Verleger	https://upload.wikimedia.org/wikipedia/commons/b/b1/Otto_Spamer.jpg		117480371	1820-08-29T00:00:00Z	1886-11-27T00:00:00Z	Darmstadt	49.866666666667,8.65	Leipzig	51.333333333333,12.383333333333
419	/m/0gyl0gs		Meier Spanier	Q1535848	https://www.wikidata.org/wiki/Q1535848	Meier Spanier	German educationist				117481017	1853-07-02T00:00:00Z	1942-09-28T00:00:00Z	Wunstorf	52.4275,9.4294444444444	Berlin	52.516666666667,13.383333333333
															52.42377,9.43585		
102561	/m/0xn6h9j		Paul Speiser	Q2062537	https://www.wikidata.org/wiki/Q2062537	Paul Speiser	Swiss politician	Schweizer Politiker	https://upload.wikimedia.org/wikipedia/commons/2/2e/Paul_Speiser_%28jurist%29_circa_1915.jpg	4706	117482897	1846-10-16T00:00:00Z	1935-10-09T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
102938			Wilhelm Spemann	Q100327	https://www.wikidata.org/wiki/Q100327	Wilhelm Spemann	German editor				117491950	1844-12-24T00:00:00Z	1910-06-29T00:00:00Z	Unna	51.534722222222,7.6888888888889	Stuttgart	48.776111111111,9.1775
373	/m/0v106c6		Heinrich Alfred Schmid	Q1235879	https://www.wikidata.org/wiki/Q1235879	Heinrich Alfred Schmid	Swiss art historian				117498963	1863-07-19T00:00:00Z	1951-04-01T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
104861			Bernhard Fiedler	Q825001	https://www.wikidata.org/wiki/Q825001	Bernhard Fiedler	German painter	deutscher Maler	https://upload.wikimedia.org/wikipedia/commons/5/58/Zeichnung_-_Bernhard_Fiedler_-_1867.png		117507369	1816-11-23T00:00:00Z	1904-03-28T00:00:00Z	Berlin	52.516666666667,13.383333333333	Trieste	45.636111111111,13.804166666667
116	/m/0v0ck6m		Hermann Kestner	Q1549836	https://www.wikidata.org/wiki/Q1549836	Hermann Kestner	German composer				117512419	1810-07-30T00:00:00Z	1890-06-27T00:00:00Z	Hanover	52.374444444444,9.7386111111111	Hanover	52.374444444444,9.7386111111111
1399	http://purl.org/net7/korbo2/ite/m/1399		Wilhelm Herbig	Q2573203	https://www.wikidata.org/wiki/Q2573203	Wilhelm Herbig	German painter	deutscher Maler	https://upload.wikimedia.org/wikipedia/commons/d/dc/Herbig_Selbstbildnis_kl.jpg		117519510	1788-04-23T00:00:00Z	1861-07-05T00:00:00Z	Potsdam	52.4,13.066666666667	Berlin	52.516666666667,13.383333333333
999	http://purl.org/net7/korbo2/ite/m/999		Charles Goodyear	Q207667	https://www.wikidata.org/wiki/Q207667	Charles Goodyear	American inventor	US-amerikanischer Chemiker und Erfinder	https://upload.wikimedia.org/wikipedia/commons/f/fc/Charles_Goodyear.png		117549649	1800-12-29T00:00:00Z	1860-07-01T00:00:00Z	New Haven	41.308333333333,-72.925	New York City	40.67,-73.94
725	/m/0w60600		Antonio Marsand	Q15953053	https://www.wikidata.org/wiki/Q15953053	Antonio Marsand	Italian presbyter				117552151	1765-01-01T00:00:00Z	1842-08-03T00:00:00Z	Venice	45.439722222222,12.331944444444	Milan	45.464161,9.190336
152	/m/0v12fbj		Alfred Gotthold Meyer	Q15447270	https://www.wikidata.org/wiki/Q15447270	Alfred Gotthold Meyer	German art historian				117555517	1864-03-01T00:00:00Z	1904-12-17T00:00:00Z	Berlin	52.516666666667,13.383333333333	Charlottenburg	52.516666666667,13.3
151	/m/0sxgb8_		Julius Meyer	Q1361730	https://www.wikidata.org/wiki/Q1361730	Julius Meyer					117562459	1830-05-26T00:00:00Z	1893-12-16T00:00:00Z	Aachen	50.776207,6.083788	Munich	48.137194444444,11.5755
2438			Franz Mertens	Q28816249	https://www.wikidata.org/wiki/Q28816249	Franz Mertens					117567809	1808-03-02T00:00:00Z	1897-05-30T00:00:00Z				
3048	/m/01h3c2		Charles Eliot Norton	Q2628443	https://www.wikidata.org/wiki/Q2628443	Charles Eliot Norton	American art historian		https://upload.wikimedia.org/wikipedia/commons/0/00/Picture_of_Charles_Eliot_Norton.jpg		11758746X	1827-11-16T00:00:00Z	1908-10-21T00:00:00Z	Cambridge	42.375,-71.106111111111	Cambridge	42.375,-71.106111111111
320	/m/05vmws8		Cornelius Gurlitt	Q78279	https://www.wikidata.org/wiki/Q78279	Cornelius Gurlitt	German architect, academic and art historian	deutscher Kunsthistoriker und Architekt	itt 1905.jpg,imagerepositorylocal,imageinfo:[{urlhttps://upload.wikimedia.org/wikipedia/commons/6/66/Cornelius_Gurlitt_1905.jpg		117591289	1850-01-01T00:00:00Z	1938-03-25T00:00:00Z	Nischwitz	51.3944,12.7125	Dresden	51.049258333333,13.738361111111
103471	/m/0w51044		Karl Jonas Mylius	Q108051	https://www.wikidata.org/wiki/Q108051	Karl Jonas Mylius	German architect	deutscher Architekt	https://upload.wikimedia.org/wikipedia/commons/c/c2/Carl_Jonas_Mylius_Litho.jpg		11762473X	1839-09-06T00:00:00Z	1883-04-27T00:00:00Z	Frankfurt	50.113611111111,8.6797222222222	Frankfurt	50.113611111111,8.6797222222222
2493			Ernest Desjardins	Q2745819	https://www.wikidata.org/wiki/Q2745819	Ernest Desjardins	French geographer, historian and professor	französischer Topograph, Geograph und Historiker	https://upload.wikimedia.org/wikipedia/commons/0/0c/ErnestDesjardins.jpg		117632880	1823-09-30T00:00:00Z	1886-10-22T00:00:00Z	Noisy-sur-Oise	49.1380555556,2.32972222222	16th arrondissement of Paris	48.863611111111,2.2764888888889
2441	/m/01ccxt		Lucien-Anatole Prévost-Paradol	Q958294	https://www.wikidata.org/wiki/Q958294	Lucien-Anatole Prévost-Paradol	French diplomat	französischer Journalist und Autor	https://upload.wikimedia.org/wikipedia/commons/1/1a/Lucien-Anatole_Pr%C3%A9vost-Paradol.jpg		117697079	1829-08-08T00:00:00Z	1870-07-20T00:00:00Z	Paris	48.856577777778,2.3518277777778	Washington, D.C.	38.895,-77.036666666667
100	/m/0sxcckj		Karl Kappeler	Q15637884	https://www.wikidata.org/wiki/Q15637884	Karl Kappeler	Swiss politician			4070							
1711	/m/04l27		Leone Battista Alberti	Q182046	https://www.wikidata.org/wiki/Q182046	Leone Battista Alberti	Italian architect										
1023	http://purl.org/net7/korbo2/ite/m/1023		Alexander VI	Q108316	https://www.wikidata.org/wiki/Q108316	Alexander VI	pope of the Catholic Church 1492–1503										
2096	http://purl.org/net7/korbo2/ite/m/2096		Alexander II of Russia	Q83171	https://www.wikidata.org/wiki/Q83171	Alexander II of Russia	Emperor of Russia										
2457	/m/0p9f		Ambrose	Q43689	https://www.wikidata.org/wiki/Q43689	Ambrose	bishop of Milan; one of the four original doctors of the Church			22761							
2954			Anthony of Padua	Q167477	https://www.wikidata.org/wiki/Q167477	Anthony of Padua	Franciscan			12483							
2651	/m/0ngg		Augustus	Q1405	https://www.wikidata.org/wiki/Q1405	Augustus	founder of Julio-Claudian dynasty and first emperor of the Roman Empire			10314							
2435	/m/0ktkm		Ausonius	Q234593	https://www.wikidata.org/wiki/Q234593	Ausonius	poet										
2310			Johann Sebastian Bach	Q1339	https://www.wikidata.org/wiki/Q1339	Johann Sebastian Bach	German composer and musician of the Baroque era										
2940	/m/01fcmx		Giovanni Bellini	Q17169	https://www.wikidata.org/wiki/Q17169	Giovanni Bellini	Italian Renaissance painter										
104252			Alois Emanuel Biedermann	Q124183	https://www.wikidata.org/wiki/Q124183	Alois Emanuel Biedermann	Swiss theologian	Schweizer reformierter Theologe	https://upload.wikimedia.org/wikipedia/commons/8/81/%28UAZ%29_AB.1.0069_Biedermann.jpg	10442	118510681	1819-03-02T00:00:00Z	1885-01-25T00:00:00Z	Kilchberg	47.324722222222,8.5491666666667	Zürich	47.378611111111,8.54
1918	/m/05m0_		Otto von Bismarck	Q8442	https://www.wikidata.org/wiki/Q8442	Otto von Bismarck	German statesman, Chancellor of Germany	deutscher Politiker, Reichskanzler	https://upload.wikimedia.org/wikipedia/commons/5/50/BismarckArbeitszimmer1886.jpg		11851136X	1815-04-01T00:00:00Z	1898-07-30T00:00:00Z	Schönhausen	52.578611111111,12.039722222222	Friedrichsruh	53.529461111111,10.340338888889
2730	/m/0htbn		Georges Bizet	Q56158	https://www.wikidata.org/wiki/Q56158	Georges Bizet	French composer	französischer Komponist	https://upload.wikimedia.org/wikipedia/commons/9/96/Georges_bizet.jpg		118511440	1838-10-25T00:00:00Z	1875-06-03T00:00:00Z	Rue de La Tour-d'Auvergne	48.8794,2.34245	Bougival	48.865,2.1394444444444
1032	http://purl.org/net7/korbo2/ite/m/1032		Cesare Borgia	Q187998	https://www.wikidata.org/wiki/Q187998	Cesare Borgia	Duke of Romagna and former Catholic cardinal	italienischer Renaissanceherrscher	https://upload.wikimedia.org/wikipedia/commons/9/96/Cesareborgia.jpg		118513559	1475-09-13T00:00:00Z	1507-03-12T00:00:00Z	Subiaco	41.933333333333,13.1	Viana	42.5151135,-2.3717803
1344	http://purl.org/net7/korbo2/ite/m/1344		Sandro Botticelli	Q5669	https://www.wikidata.org/wiki/Q5669	Sandro Botticelli	Italian painter	italienischer Maler und Zeichner	https://upload.wikimedia.org/wikipedia/commons/d/d4/Sandro_Botticelli_083.jpg		118514008	1445-03-01T00:00:00Z	1510-05-17T00:00:00Z	Florence	43.771388888889,11.254166666667	Florence	43.771388888889,11.254166666667
